:START_ID,:END_ID,relation,:TYPE
12329,20017,类型属于,类型属于
11928,20026,类型属于,类型属于
11699,20014,类型属于,类型属于
11466,20001,类型属于,类型属于
10753,20001,类型属于,类型属于
10243,20010,类型属于,类型属于
11435,20023,类型属于,类型属于
12495,20003,类型属于,类型属于
11808,20013,类型属于,类型属于
11856,20007,类型属于,类型属于
11931,20013,类型属于,类型属于
10227,20030,类型属于,类型属于
10721,20006,类型属于,类型属于
10493,20038,类型属于,类型属于
10108,20016,类型属于,类型属于
12943,20006,类型属于,类型属于
11304,20026,类型属于,类型属于
10635,20002,类型属于,类型属于
11563,20001,类型属于,类型属于
10218,20026,类型属于,类型属于
10627,20012,类型属于,类型属于
11597,20014,类型属于,类型属于
11417,20004,类型属于,类型属于
10521,20003,类型属于,类型属于
12191,20003,类型属于,类型属于
10763,20013,类型属于,类型属于
10502,20005,类型属于,类型属于
10413,20014,类型属于,类型属于
12833,20016,类型属于,类型属于
11436,20005,类型属于,类型属于
10252,20012,类型属于,类型属于
10789,20006,类型属于,类型属于
11725,20017,类型属于,类型属于
10272,20003,类型属于,类型属于
10613,20003,类型属于,类型属于
10126,20003,类型属于,类型属于
11483,20019,类型属于,类型属于
11939,20007,类型属于,类型属于
11444,20012,类型属于,类型属于
11953,20018,类型属于,类型属于
10727,20002,类型属于,类型属于
11499,20012,类型属于,类型属于
10110,20012,类型属于,类型属于
12742,20026,类型属于,类型属于
11370,20003,类型属于,类型属于
12601,20017,类型属于,类型属于
12554,20018,类型属于,类型属于
10586,20022,类型属于,类型属于
10408,20027,类型属于,类型属于
12757,20001,类型属于,类型属于
11522,20003,类型属于,类型属于
11237,20024,类型属于,类型属于
11402,20003,类型属于,类型属于
11016,20034,类型属于,类型属于
12205,20026,类型属于,类型属于
10825,20001,类型属于,类型属于
12941,20016,类型属于,类型属于
10566,20003,类型属于,类型属于
12243,20013,类型属于,类型属于
10962,20026,类型属于,类型属于
11480,20036,类型属于,类型属于
11491,20013,类型属于,类型属于
11260,20003,类型属于,类型属于
11336,20003,类型属于,类型属于
10241,20012,类型属于,类型属于
12099,20031,类型属于,类型属于
10115,20003,类型属于,类型属于
10796,20012,类型属于,类型属于
10025,20003,类型属于,类型属于
10462,20002,类型属于,类型属于
10247,20004,类型属于,类型属于
10175,20014,类型属于,类型属于
10114,20003,类型属于,类型属于
10380,20039,类型属于,类型属于
12812,20026,类型属于,类型属于
13000,20001,类型属于,类型属于
12872,20028,类型属于,类型属于
10658,20001,类型属于,类型属于
11405,20017,类型属于,类型属于
11450,20019,类型属于,类型属于
12259,20017,类型属于,类型属于
11653,20006,类型属于,类型属于
11045,20030,类型属于,类型属于
10637,20017,类型属于,类型属于
10734,20027,类型属于,类型属于
11648,20006,类型属于,类型属于
11245,20017,类型属于,类型属于
11170,20006,类型属于,类型属于
10079,20009,类型属于,类型属于
10917,20013,类型属于,类型属于
10685,20012,类型属于,类型属于
10911,20024,类型属于,类型属于
11529,20006,类型属于,类型属于
10456,20023,类型属于,类型属于
10791,20012,类型属于,类型属于
11067,20027,类型属于,类型属于
10383,20006,类型属于,类型属于
12192,20026,类型属于,类型属于
11383,20016,类型属于,类型属于
12605,20013,类型属于,类型属于
11755,20040,类型属于,类型属于
10243,20001,类型属于,类型属于
11293,20026,类型属于,类型属于
12244,20006,类型属于,类型属于
10739,20012,类型属于,类型属于
11013,20029,类型属于,类型属于
10035,20013,类型属于,类型属于
10023,20016,类型属于,类型属于
11447,20011,类型属于,类型属于
12336,20028,类型属于,类型属于
10489,20014,类型属于,类型属于
10181,20013,类型属于,类型属于
10531,20022,类型属于,类型属于
11441,20026,类型属于,类型属于
10710,20027,类型属于,类型属于
12785,20006,类型属于,类型属于
10486,20013,类型属于,类型属于
10985,20024,类型属于,类型属于
12178,20020,类型属于,类型属于
11302,20034,类型属于,类型属于
11937,20018,类型属于,类型属于
10005,20010,类型属于,类型属于
11349,20007,类型属于,类型属于
10127,20035,类型属于,类型属于
11107,20031,类型属于,类型属于
12646,20016,类型属于,类型属于
10518,20009,类型属于,类型属于
10208,20009,类型属于,类型属于
10732,20019,类型属于,类型属于
10295,20006,类型属于,类型属于
10578,20003,类型属于,类型属于
12967,20026,类型属于,类型属于
10961,20029,类型属于,类型属于
12089,20006,类型属于,类型属于
10991,20008,类型属于,类型属于
10634,20016,类型属于,类型属于
11524,20010,类型属于,类型属于
12621,20001,类型属于,类型属于
10267,20007,类型属于,类型属于
11021,20020,类型属于,类型属于
10700,20033,类型属于,类型属于
12212,20026,类型属于,类型属于
11211,20030,类型属于,类型属于
11676,20026,类型属于,类型属于
10358,20012,类型属于,类型属于
12321,20001,类型属于,类型属于
11481,20002,类型属于,类型属于
12767,20026,类型属于,类型属于
12720,20026,类型属于,类型属于
12530,20017,类型属于,类型属于
12402,20010,类型属于,类型属于
12326,20007,类型属于,类型属于
10666,20006,类型属于,类型属于
11275,20035,类型属于,类型属于
12899,20026,类型属于,类型属于
10639,20010,类型属于,类型属于
12132,20018,类型属于,类型属于
11137,20012,类型属于,类型属于
11991,20026,类型属于,类型属于
10037,20010,类型属于,类型属于
12718,20005,类型属于,类型属于
11128,20005,类型属于,类型属于
10199,20005,类型属于,类型属于
12005,20026,类型属于,类型属于
11454,20017,类型属于,类型属于
11531,20003,类型属于,类型属于
11615,20031,类型属于,类型属于
10157,20013,类型属于,类型属于
11520,20026,类型属于,类型属于
10616,20013,类型属于,类型属于
11286,20019,类型属于,类型属于
11255,20026,类型属于,类型属于
11735,20003,类型属于,类型属于
10551,20026,类型属于,类型属于
11884,20013,类型属于,类型属于
10883,20001,类型属于,类型属于
11457,20006,类型属于,类型属于
11748,20026,类型属于,类型属于
10032,20014,类型属于,类型属于
10580,20023,类型属于,类型属于
12340,20018,类型属于,类型属于
