index:ID,media_id,name,num_of_play,num_of_subscribe,num_of_danmu,starting_time,score,num_of_scoring_peopel,status,:LABEL
10089,1665,BLACK★ROCK SHOOTER,299.9万,50.9万,21.4万,2012年2月2日,9.3,1167人评,已完结,Anime
10090,78372,琴之森,216.3万,15.7万,2.7万,2018年4月9日,9.5,1052人评,已完结,Anime
10091,8812,齐木楠雄的灾难 第二季,3728.7万,156.7万,70.6万,2018年1月17日,9.8,21670人评,已完结,Anime
10092,139372,RErideD-穿越时空的德理达,139万,20.5万,1.5万,18年9月先行 ,7.9,851人评,连载中,Anime
10093,845,花开伊吕波,341.8万,41.3万,31.1万,2011年4月3日,9.6,1828人评,已完结,Anime
10094,1869,混沌武士,254.2万,19.9万,13万,2004年5月19日,9.8,2445人评,已完结,Anime
10095,862,丹特丽安的书架,240.3万,17.2万,13.3万,2011年7月15日,9.6,914人评,已完结,Anime
10096,6345,终物语 下,229.4万,42.9万,8.1万,2017年8月12日,9.7,3920人评,已完结,Anime
10097,79372,ReLIFE 完结篇,201.9万,29.3万,3.7万,2018年4月10日,9.8,9722人评,已完结,Anime
10098,2580,干物妹！小埋,9225.2万,258万,501.6万,2015年7月8日,8.9,5525人评,已完结,Anime
10099,3275,他和她的故事,128.3万,11万,5.8万,1998年10月2日,9.5,210人评,已完结,Anime
10100,899,滑头鬼之孙,497.2万,35.3万,25.4万,2010年7月5日,9.3,967人评,已完结,Anime
10101,5017,食戟之灵 贰之皿,5523.7万,173.5万,155.4万,2016年7月2日,9.2,2603人评,已完结,Anime
10102,1539,我的青春恋爱物语果然有问题。,1630.8万,137.8万,107.2万,2013年4月4日,9.7,7352人评,已完结,Anime
10103,282,电器街的漫画店,886.8万,22.9万,38.1万,2014年10月2日,9.2,472人评,已完结,Anime
10104,5550,夏目友人帐 伍,3483.9万,201万,138.3万,2016年10月5日,9.5,2591人评,已完结,Anime
10105,290,记录的地平线 第二季,1921.8万,24万,47.9万,2014年10月4日,9.5,850人评,已完结,Anime
10106,1626,黑子的篮球 第3期,3637.1万,36.6万,175.9万,2015年1月10日,9.2,743人评,已完结,Anime
10107,5030,驱魔少年 HALLOW,903.9万,60.4万,21.2万,2016年7月5日,9.2,374人评,已完结,Anime
10108,1379,黑礁,225.3万,17.9万,6.3万,2006年4月8日,9.6,592人评,已完结,Anime
10109,3489,Infinite Stratos 2,924万,68.9万,34.8万,2013年10月3日,7.8,752人评,已完结,Anime
10110,53,月刊少女野崎君,123.9万,127.5万,2.9万,2014年7月6日,9.8,11181人评,已完结,Anime
10111,5549,忍者少女千鸟,676.3万,16.3万,2.6万,2016年10月4日,9.3,253人评,已完结,Anime
10112,980,MM一族,270.2万,38.1万,19.7万,2010年10月2日,9.5,1241人评,已完结,Anime
10113,95972,灰色的果实,213.2万,21.1万,8.1万,2014年10月5日,9.8,2551人评,已完结,Anime
10114,900,滑头鬼之孙～千年魔京～,1250.8万,15万,31.6万,2011年7月3日,9.5,751人评,已完结,Anime
10115,3466,魔笛MAGI 辛巴达的冒险,684.9万,28.6万,16.5万,2016年4月16日,9.4,336人评,已完结,Anime
10116,132112,猫和老鼠 旧版,91.8万,12.3万,2.3万,1940年2月10日,9.8,1735人评,已完结,Anime
10117,2069,十二国记,155.9万,11.7万,7.1万,2002年4月9日,9.7,952人评,已完结,Anime
10118,3446,夏目友人帐 OVA,116.6万,26.9万,2.2万,2013年12月15日,9.7,1270人评,已完结,Anime
10119,864,便·当,310.7万,14.5万,15.5万,2011年10月8日,9.3,615人评,已完结,Anime
10120,5020,Rewrite,2556.9万,108.3万,95.9万,2016年7月3日,8,1279人评,已完结,Anime
10121,3101,无头骑士异闻录×2 结,654.5万,31万,36.5万,2016年1月9日,9.3,980人评,已完结,Anime
10122,1535,魔法少女奈叶,48.2万,12.6万,2.7万,2004年10月1日,9.7,490人评,已完结,Anime
10123,5794,飙速宅男 新世代,417.3万,12.8万,6.2万,2017年1月10日,9.1,171人评,已完结,Anime
10124,5552,神装少女小缠,381.4万,16.7万,10.7万,2016年10月4日,8.1,156人评,已完结,Anime
10125,5018,初恋怪兽,878.8万,58.3万,76万,2016年7月2日,7.3,353人评,已完结,Anime
10126,1065,DARKER THAN BLACK -流星的双子-,114.6万,17.5万,6.2万,2009年10月8日,9.6,1473人评,已完结,Anime
10127,1270,濑户的花嫁,791.1万,53.4万,41.1万,2007年4月1日,9.7,2416人评,已完结,Anime
10128,3484,心灵侦探八云,185.4万,23.1万,7.3万,2010年10月3日,8.8,180人评,已完结,Anime
10129,5058,路人超能100(灵能百分百),3153.6万,115.3万,77.8万,2016年7月12日,9.7,4695人评,已完结,Anime
10130,3589,玻璃之花与崩坏的世界,145.8万,13万,3.8万,2016年1月9日,8.8,266人评,已完结,Anime
10131,1072,狼与香辛料 第二季,165.1万,22.3万,11.7万,2009年7月9日,9.8,2735人评,已完结,Anime
10132,2674,东之伊甸,77.3万,11.2万,2万,2009年4月9日,8.7,258人评,已完结,Anime
10133,6422,黑色四叶草,2310.1万,84.6万,46.5万,2017年10月3日,7.9,8287人评,连载中,Anime
10134,3100,石膏男孩,622.3万,21.7万,20.1万,2016年1月8日,8.6,232人评,已完结,Anime
10135,2760,终结的炽天使 名古屋决战篇,2482.7万,75.7万,106.4万,2015年10月10日,8.1,1167人评,已完结,Anime
10136,4060,笑对阴天,69万,12万,2万,2014年10月3日,9.5,426人评,已完结,Anime
10137,3071,Love Live! School Idol Project（第二季）,1686.7万,45.1万,129.9万,2014年4月6日,9.6,2717人评,已完结,Anime
10138,1304,蓝兰岛漂流记,221.5万,13.5万,9.7万,2007年4月4日,9.6,368人评,已完结,Anime
10139,5512,梦之祭,270.2万,14万,8.7万,2016年9月23日,0,0,已完结,Anime
10140,858,好想告诉你 第二季,426.7万,18.4万,23.1万,2011年1月4日,9.6,515人评,已完结,Anime
10141,1511,铳皇无尽的法夫纳,263.1万,41万,18.2万,2015年1月8日,7.3,569人评,已完结,Anime
10142,77972,赛马娘,546.9万,33.6万,19.1万,2018年4月2日,9.6,4429人评,已完结,Anime
10143,1574,伪恋：,2076.9万,71.1万,71.5万,2015年4月10日,9.3,1986人评,已完结,Anime
10144,5495,为美好的世界献上祝福！ OVA,384.9万,35.2万,5万,2016年6月24日,9.7,1453人评,已完结,Anime
10145,5997,埃罗芒阿老师,9317.8万,397.7万,567.9万,2017年4月9日,8.5,14897人评,已完结,Anime
10146,79312,女神异闻录5 动画版,1703.5万,94.7万,26.4万,2018年4月8日,9.1,7197人评,已完结,Anime
10147,479,DIABOLIK LOVERS,942.3万,22.9万,34.3万,2013年9月16日,9.2,118人评,已完结,Anime
10148,2673,我的脑内选项正在全力妨碍学园恋爱喜剧,2537.8万,89.4万,86.2万,2013年10月9日,9.3,2575人评,已完结,Anime
10149,3498,Anne Happy,476.6万,32.2万,24.9万,2016年4月7日,9.4,773人评,已完结,Anime
10150,5830,三年E班Q,1067.2万,48.3万,19.2万,2016年12月23日,9.1,454人评,已完结,Anime
10151,425,某科学的超电磁炮,3073.5万,200.7万,325.5万,2009年10月2日,9.5,7088人评,已完结,Anime
10152,6308,妖怪公寓的幽雅日常,1586.8万,64.1万,47.1万,2017年7月3日,9,2958人评,已完结,Anime
10153,1588,罪恶王冠,2576.3万,172.8万,214.5万,2011年10月13日,8.5,7901人评,已完结,Anime
10154,4404,BLOOD LAD 血意少年,251.7万,25万,3万,2013年7月7日,9.4,747人评,已完结,Anime
10155,102152,前进吧！登山少女 第三季,155万,15.7万,2.7万,2018年7月3日,9.8,1324人评,已完结,Anime
10156,4187,約會大作戰 第二季 （僅限港澳台地區）,36.8万,26.1万,3.4万,2014年4月11日,8.4,1222人评,已完结,Anime
